"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"50289",161296,1,1,1,43,11,1218.13559312851
"50290",161296,1,2,2,42,14,1218.13559312851
"50291",161296,1,3,1,20,11,1218.13559312851
"50292",161296,1,4,1,16,9,1218.13559312851
"50293",161311,1,1,2,38,11,555.472274634995
"50294",161311,1,2,1,48,11,555.472274634995
"50295",161311,1,3,1,16,9,555.472274634995
"50296",161362,1,1,1,67,11,593.356918537745
"50297",161362,1,2,2,62,11,593.356918537745
"50298",161362,1,3,1,22,15,593.356918537745
"50299",161362,1,4,2,42,13,593.356918537745
"50300",161362,1,5,1,45,11,593.356918537745
"50301",161362,1,6,1,19,11,593.356918537745
"50302",161384,1,1,1,80,5,761.270577305685
"50303",161384,1,2,2,83,5,761.270577305685
"50304",161390,1,1,2,47,11,712.924422237291
"50305",161390,1,2,1,47,11,712.924422237291
"50306",161390,1,3,1,25,11,712.924422237291
"50307",161390,1,4,2,16,7,712.924422237291
"50308",161402,1,1,2,70,16,713.587356519674
"50309",161402,1,2,2,90,5,713.587356519674
"50310",161431,1,1,1,57,16,487.015670033413
"50311",161431,1,2,2,56,11,487.015670033413
"50312",5185151,1,1,2,47,16,549.554671115774
"50313",5185152,1,1,1,58,5,556.873134270308
"50314",5185152,1,2,2,57,11,556.873134270308
"50315",5185152,1,3,1,19,13,556.873134270308
"50316",5185152,1,4,1,18,11,556.873134270308
"50317",5185153,1,1,2,35,11,540.85792523704
"50318",5185153,1,2,1,41,9,540.85792523704
"50319",5185153,1,3,1,15,7,540.85792523704
"50320",5185823,1,1,2,57,9,555.201701497876
"50321",5185823,1,2,1,22,13,555.201701497876
"50322",5185823,1,3,2,21,14,555.201701497876
"50323",5185823,1,4,1,56,15,555.201701497876
"50324",5185823,1,5,1,54,10,555.201701497876
"50325",5186648,1,1,2,56,5,596.268611671907
"50326",5186648,1,2,1,52,5,596.268611671907
"50327",5186648,1,3,1,26,11,596.268611671907
"50328",5186648,1,4,1,23,11,596.268611671907
"50329",5186649,1,1,1,33,11,601.913981928482
"50330",5186649,1,2,2,25,11,601.913981928482
"50331",5186649,1,4,2,41,5,601.913981928482
"50332",5186712,1,1,2,68,5,335.465632988542
"50333",5186712,1,2,1,71,5,335.465632988542
"50334",5186712,1,3,1,44,1,335.465632988542
"50335",5186712,1,4,2,38,10,335.465632988542
"50336",5186712,1,5,1,16,10,335.465632988542
"50337",5186712,1,6,1,14,8,335.465632988542
"50338",5186712,1,7,1,12,5,335.465632988542
"50339",5186712,1,8,2,38,10,335.465632988542
"50340",5186712,1,9,1,56,6,335.465632988542
"50341",5186713,1,1,1,46,17,541.223962475456
"50342",5186713,1,2,2,45,18,541.223962475456
"50343",5186713,1,3,2,18,12,541.223962475456
"50344",5186714,1,1,1,72,11,582.055884233239
"50345",5186714,1,2,2,57,17,582.055884233239
"50346",5186714,1,3,2,26,18,582.055884233239
"50347",5186715,1,1,1,57,16,570.19168600608
"50348",5186715,1,2,2,69,16,570.19168600608
"50349",5186716,1,1,1,70,3,272.183660979812
"50350",5186716,1,2,2,45,5,272.183660979812
"50351",5186716,1,3,2,16,7,272.183660979812
"50352",5186716,1,5,2,37,5,272.183660979812
"50353",5186760,1,1,1,27,11,590.049783701323
"50354",5186760,1,2,2,26,11,590.049783701323
"50355",5186762,1,1,1,68,3,480.037675180278
"50356",5186762,1,2,2,27,4,480.037675180278
"50357",5186762,1,3,1,54,10,480.037675180278
"50358",5186762,1,7,2,25,8,480.037675180278
"50359",5187672,1,1,1,57,7,601.928632201865
"50360",5187672,1,2,2,29,11,601.928632201865
"50361",5187673,1,1,2,70,7,579.561543241069
"50362",5187673,1,2,1,37,3,579.561543241069
"50363",5187673,1,3,1,34,14,579.561543241069
"50364",5187673,1,4,1,12,5,579.561543241069
"50365",5187673,1,6,2,29,11,579.561543241069
"50366",5187673,1,8,1,57,3,579.561543241069
"50367",5187674,1,1,2,46,14,489.949636573315
"50368",5187674,1,2,1,17,11,489.949636573315
"50369",5187674,1,3,2,13,7,489.949636573315
"50370",5187675,1,1,1,54,6,574.296973181404
"50371",5187675,1,2,2,88,5,574.296973181404
"50372",5187675,1,3,2,50,3,574.296973181404
"50373",5187676,1,1,2,24,9,335.368129168216
"50374",5187676,1,5,1,23,4,335.368129168216
"50375",5187676,1,6,2,28,12,335.368129168216
"50376",5187676,1,8,2,24,11,335.368129168216
"50377",5187676,1,9,2,18,9,335.368129168216
"50378",5187676,1,10,1,41,9,335.368129168216
"50379",5187677,1,1,1,38,5,604.011099639723
"50380",5187677,1,2,2,47,11,604.011099639723
"50381",5187677,1,4,1,78,0,604.011099639723
"50382",5187678,1,1,1,70,11,570.19168600608
"50383",5187678,1,2,2,57,5,570.19168600608
"50384",5187680,1,1,1,51,16,579.501895540676
"50385",5187680,1,2,2,54,16,579.501895540676
"50386",5187680,1,3,2,26,16,579.501895540676
"50387",5187680,1,4,1,20,13,579.501895540676
"50388",5187680,1,5,2,60,5,579.501895540676
"50389",5187791,1,1,2,47,16,470.076888604689
"50390",5187791,1,2,2,19,12,470.076888604689
"50391",5187791,1,3,1,12,5,470.076888604689
"50392",5187791,1,4,2,68,16,470.076888604689
"50393",5187793,1,1,2,47,16,467.391550220945
"50394",5187793,1,2,2,25,16,467.391550220945
"50395",5187793,1,3,2,17,10,467.391550220945
"50396",5187793,1,4,2,14,7,467.391550220945
"50397",5187793,1,5,2,53,5,467.391550220945
"50398",5187794,1,1,2,58,11,517.81772491999
"50399",5187795,1,1,2,85,3,497.944976951365
"50400",5187795,1,2,2,55,11,497.944976951365
"50401",5187796,1,1,1,22,15,524.371921152843
"50402",5187796,1,2,1,21,11,524.371921152843
"50403",5187797,1,1,1,51,5,692.258367454323
"50404",5187797,1,2,2,50,11,692.258367454323
"50405",5187797,1,3,1,15,7,692.258367454323
"50406",5187797,1,4,1,65,8,692.258367454323
"50407",5187797,1,5,1,60,5,692.258367454323
"50408",5187798,1,1,1,50,11,519.66553584227
"50409",5187798,1,2,2,46,5,519.66553584227
"50410",5187798,1,3,1,19,13,519.66553584227
"50411",5187798,1,5,1,21,11,519.66553584227
"50412",5187798,1,6,2,18,9,519.66553584227
"50413",5187802,1,1,2,53,16,638.784771184284
"50414",5187802,1,2,1,29,14,638.784771184284
"50415",5187802,1,3,1,27,16,638.784771184284
"50416",5187803,1,1,2,27,11,502.902151070671
"50417",5187804,1,1,1,52,10,446.830606115052
"50418",5187804,1,2,2,26,14,446.830606115052
"50419",5187804,1,3,2,14,7,446.830606115052
"50420",5187804,1,4,1,14,5,446.830606115052
"50421",5187804,1,5,2,27,11,446.830606115052
"50422",5187804,1,7,2,19,12,446.830606115052
"50423",5187805,1,1,1,57,11,659.42178607459
"50424",5187805,1,2,1,34,11,659.42178607459
