"","directorio","secuencia_p","orden","fecha","ocu","inac","deso"
"196",4804829,1,2,2019-01-01,1,0,0
"197",4804829,1,3,2019-01-01,1,0,0
"198",4804830,1,1,2019-01-01,1,0,0
"199",4804830,1,2,2019-01-01,1,0,0
"200",4804830,1,3,2019-01-01,0,0,1
"201",4804830,1,4,2019-01-01,0,1,0
"202",4804831,1,1,2019-01-01,1,0,0
"203",4804831,1,2,2019-01-01,1,0,0
"204",4804831,1,3,2019-01-01,1,0,0
"205",4804831,1,4,2019-01-01,1,0,0
"206",4804832,1,1,2019-01-01,0,1,0
"207",4804832,1,2,2019-01-01,1,0,0
"208",4804833,1,1,2019-01-01,1,0,0
"209",4804833,1,2,2019-01-01,0,1,0
"210",4804833,1,3,2019-01-01,1,0,0
"211",4804833,1,4,2019-01-01,1,0,0
"212",4804834,1,1,2019-01-01,1,0,0
"213",4804834,1,2,2019-01-01,1,0,0
"214",4804834,1,3,2019-01-01,0,1,0
"215",4804834,1,4,2019-01-01,0,1,0
"216",4804835,1,1,2019-01-01,1,0,0
"217",4804835,1,2,2019-01-01,1,0,0
"218",4804836,1,1,2019-01-01,0,0,1
"219",4804836,1,2,2019-01-01,1,0,0
"220",4804837,1,1,2019-01-01,1,0,0
"221",4804837,1,2,2019-01-01,0,1,0
"222",4804837,1,3,2019-01-01,1,0,0
"223",4804837,1,4,2019-01-01,1,0,0
"224",4804838,1,1,2019-01-01,1,0,0
"225",4804838,1,2,2019-01-01,0,1,0
"226",4804838,1,3,2019-01-01,0,1,0
"227",4804838,1,5,2019-01-01,1,0,0
"228",4804838,1,6,2019-01-01,0,1,0
"229",4804838,1,9,2019-01-01,1,0,0
"230",4804839,1,1,2019-01-01,1,0,0
"231",4804839,1,2,2019-01-01,1,0,0
"232",4804839,1,3,2019-01-01,0,1,0
"233",4804839,1,4,2019-01-01,0,1,0
"234",4804839,1,5,2019-01-01,0,1,0
"235",4804840,1,1,2019-01-01,1,0,0
"236",4804840,1,2,2019-01-01,0,1,0
"237",4804840,2,1,2019-01-01,1,0,0
"238",4804841,1,1,2019-01-01,0,1,0
"239",4804841,1,2,2019-01-01,1,0,0
"240",4804842,1,1,2019-01-01,1,0,0
"241",4804842,1,2,2019-01-01,1,0,0
"242",4804842,1,5,2019-01-01,1,0,0
"243",4804842,1,6,2019-01-01,1,0,0
"244",4804842,1,8,2019-01-01,1,0,0
"245",4804842,1,9,2019-01-01,0,0,1
"246",4804842,1,12,2019-01-01,0,1,0
"247",4804842,1,13,2019-01-01,0,1,0
"248",4804842,1,14,2019-01-01,0,1,0
"249",4804843,1,1,2019-01-01,0,1,0
"250",4804843,1,2,2019-01-01,1,0,0
"251",4804844,1,1,2019-01-01,1,0,0
"252",4804844,1,2,2019-01-01,1,0,0
"253",4804844,1,3,2019-01-01,1,0,0
"254",4804845,1,1,2019-01-01,0,1,0
"255",4804846,1,1,2019-01-01,0,1,0
"256",4804846,1,2,2019-01-01,0,1,0
"257",4804846,1,3,2019-01-01,1,0,0
"258",4804846,1,4,2019-01-01,1,0,0
"259",4804846,1,5,2019-01-01,0,1,0
"260",4804846,1,7,2019-01-01,0,0,1
"261",4804846,1,10,2019-01-01,0,0,1
"262",4804846,1,11,2019-01-01,1,0,0
"263",4804846,1,12,2019-01-01,0,1,0
"264",4804848,1,1,2019-01-01,1,0,0
"265",4804848,1,2,2019-01-01,1,0,0
"266",4804848,1,3,2019-01-01,1,0,0
"267",4804849,1,1,2019-01-01,1,0,0
"268",4804849,1,2,2019-01-01,0,1,0
"269",4804849,1,3,2019-01-01,0,1,0
"270",4804850,1,1,2019-01-01,1,0,0
"271",4804850,1,2,2019-01-01,0,1,0
"272",4804851,1,1,2019-01-01,1,0,0
"273",4804851,1,2,2019-01-01,1,0,0
"274",4804852,1,1,2019-01-01,1,0,0
"275",4804852,1,2,2019-01-01,1,0,0
"276",4804853,1,1,2019-01-01,1,0,0
"277",4804853,1,2,2019-01-01,1,0,0
"278",4804853,1,3,2019-01-01,0,1,0
"279",4804853,1,4,2019-01-01,0,1,0
"280",4804854,1,1,2019-01-01,1,0,0
"281",4804854,1,2,2019-01-01,1,0,0
"282",4804854,1,5,2019-01-01,0,1,0
"283",4804855,1,1,2019-01-01,1,0,0
"284",4804855,1,2,2019-01-01,1,0,0
"285",4804855,1,3,2019-01-01,0,1,0
"286",4804855,1,4,2019-01-01,0,1,0
"287",4804855,1,5,2019-01-01,0,1,0
"288",4804855,1,6,2019-01-01,0,1,0
"289",4804856,1,1,2019-01-01,1,0,0
"290",4804856,1,2,2019-01-01,0,1,0
"291",4804856,1,3,2019-01-01,1,0,0
"292",4804856,1,4,2019-01-01,0,1,0
"293",4804857,1,1,2019-01-01,1,0,0
"294",4804857,1,2,2019-01-01,1,0,0
"295",4804857,1,3,2019-01-01,0,1,0
"296",4804857,1,4,2019-01-01,0,1,0
"297",4804858,1,1,2019-01-01,1,0,0
"298",4804858,1,2,2019-01-01,1,0,0
"299",4804858,1,3,2019-01-01,0,1,0
"300",4804859,1,1,2019-01-01,1,0,0
"301",4804859,1,2,2019-01-01,1,0,0
"302",4804859,1,3,2019-01-01,0,1,0
"303",4804860,1,1,2019-01-01,1,0,0
"304",4804860,1,2,2019-01-01,0,1,0
"305",4804860,1,3,2019-01-01,0,1,0
"306",4804860,1,4,2019-01-01,0,1,0
"307",4804861,1,1,2019-01-01,0,0,1
"308",4804861,1,4,2019-01-01,1,0,0
"309",4804862,1,1,2019-01-01,1,0,0
"310",4804862,1,2,2019-01-01,0,1,0
"311",4804862,1,3,2019-01-01,0,1,0
"312",4804863,1,1,2019-01-01,1,0,0
"313",4804863,1,2,2019-01-01,1,0,0
"314",4804864,1,1,2019-01-01,1,0,0
"315",4804864,1,2,2019-01-01,1,0,0
"316",4804865,1,1,2019-01-01,1,0,0
"317",4804865,1,2,2019-01-01,1,0,0
"318",4804865,1,3,2019-01-01,1,0,0
"319",4804865,1,4,2019-01-01,0,1,0
"320",4804865,1,5,2019-01-01,1,0,0
"321",4804866,1,1,2019-01-01,1,0,0
"322",4804866,1,2,2019-01-01,0,0,1
"323",4804867,1,1,2019-01-01,1,0,0
"324",4804867,1,2,2019-01-01,0,1,0
"325",4804868,1,1,2019-01-01,0,1,0
"326",4804868,1,2,2019-01-01,1,0,0
"327",4804869,1,1,2019-01-01,1,0,0
"328",4804869,1,2,2019-01-01,1,0,0
"329",4804869,1,3,2019-01-01,1,0,0
"330",4804870,1,1,2019-01-01,0,1,0
"331",4804870,1,2,2019-01-01,0,1,0
"332",4804871,1,1,2019-01-01,1,0,0
"333",4804871,1,2,2019-01-01,0,1,0
"334",4804872,1,1,2019-01-01,1,0,0
"335",4804872,1,2,2019-01-01,1,0,0
"336",4804872,1,3,2019-01-01,0,1,0
"337",4804873,1,1,2019-01-01,1,0,0
"338",4804873,1,2,2019-01-01,1,0,0
"339",4804873,1,3,2019-01-01,1,0,0
"340",4804873,1,4,2019-01-01,0,1,0
"341",4804874,1,1,2019-01-01,1,0,0
"342",4804874,1,2,2019-01-01,1,0,0
"343",4804874,1,3,2019-01-01,0,1,0
"344",4804875,1,1,2019-01-01,1,0,0
"345",4804875,1,2,2019-01-01,0,1,0
"346",4804876,1,1,2019-01-01,1,0,0
"347",4804876,1,2,2019-01-01,0,1,0
"348",4804876,1,3,2019-01-01,0,1,0
"349",4804876,1,4,2019-01-01,0,1,0
"350",4804877,1,1,2019-01-01,0,1,0
"351",4804877,1,2,2019-01-01,0,1,0
"352",4804878,1,1,2019-01-01,0,0,1
"353",4804878,1,2,2019-01-01,0,1,0
"354",4804878,1,3,2019-01-01,1,0,0
"355",4804879,1,1,2019-01-01,1,0,0
"356",4804879,1,2,2019-01-01,1,0,0
"357",4804879,1,3,2019-01-01,0,1,0
"358",4804880,1,1,2019-01-01,1,0,0
"359",4804880,1,2,2019-01-01,1,0,0
